DOB_YY,15,18
DOB_MM,19,20
BFACIL,41,41
F_FACILITY,1,1
MAGER9,93,93
RESTATUS,138,138
MBRACE,143,143
MHISP_R,148,148
TBO_REC,217,217
PRECARE,245,246
WIC,1,1
NO_RISKS,1,1
ATTEND,410,410
MTRAN,1,1
APGAR5,417,417
APGAR10,1,1
DPLURAL,423,423
GESTREC10,453,454
GESTREC3,455,455
BWTR14,471,472
BWTR4,473,473
BRTHWGT,467,470
NO_CONGEN,1,1
CA_ANEN,492,492
CA_MNSB,493,493
CA_CCHD,494,494
CA_CDH,495,495
CA_OMPH,496,496
CA_GAST,497,497
CA_LIMB,498,498
CA_CLEFT,499,499
CA_CLPAL,500,500
CA_DOWN,501,501
CA_DISOR,502,502
CA_HYPO,503,503
ITRAN,1,1
UBFACIL,42,42
AGER5,875,875
MANNER,878,878
HOSPD,1186,1186
DOD_YY,1188,1191
DOD_MM,1258,1259
F_CA_ANEN,635,635
F_CA_MNSB,636,636
F_CA_CCHD,637,637
F_CA_CDH,638,638
F_CA_OMPH,639,639
F_CA_GAST,640,640
F_CA_LIMB,641,641
F_CA_CLEFT,642,642
F_CA_CLPAL,643,643
F_CA_DOWN,644,644
F_CA_DISOR,645,645
F_CA_HYPO,646,646
F_APGAR5,574,574
